Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters,Issue_Education,Issue_Environment,Issue_Financial,Issue_Foreign_Affairs,Issue_Healthcare,Issue_Military,Issue_Other,Issue_Social,trans_Car,trans_Foot_or_bicycle,trans_Motorcycle_or_truck,trans_Public_or_other,Occ_Hightech,Occ_Industry_or_other,Occ_Public_Sector,Occ_Services_or_Retail,Occ_Student_or_Unemployed
Purples,6,173.1071466,24912.09273,57.70238221,1,431.7342156,1,-1,-1,0.684511191,0.734847351,357.0015705,1.616842919,62.43156868,6.746,3254,56.15584545,352.1186984,3760.090701,47088.28896,1,186394.433,18.76482609,162.9140498,64.89049844,3397.267295,70,0,1,611.8044115,11,503.4483228,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Violets,9,138.4986771,11914.47273,46.16622571,0,258.0776866,1,1,1,0.431981093,0.724751953,226.8879311,3.017223547,95.66692794,10.398,5602,76.36223412,281.9563098,3144.689486,37873.08267,0,66604.09233,16.79155472,326.6270595,45.06847912,2187.486622,90,2,2,517.1609957,15,475.1850964,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Violets,5,206.0983094,57331.71396,68.69943647,0,834.5296105,0,-1,-1,0.809749481,0.239791135,559.5301699,1.61041847,57.6061405,12.301,3699,39.46729272,993.0057606,10331.30763,112712.4578,-1,696439.6708,31.51199392,680.9707218,37.0701255,4798.312008,60,1,0,1392.049309,9,829.7823278,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Whites,6,868.8948735,150764.7131,289.6316245,1,520.5395419,0,-1,1,0.825039995,0.759323525,475.9184159,4.449675833,60.00744584,5.642,4358,69.36613373,390.2049575,5985.805334,50206.47421,0,270961.4147,19.75360619,126.3668416,97.14975241,84186.10954,80,2,1,623.6928811,8,440.9089303,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Khakis,3,544.9403976,174788.3905,181.6467992,0,962.2431626,0,1,1,0.735991386,0.539690666,338.2754461,0.412981585,33.21932126,7.664,8336,26.54557284,625.7020264,10873.83568,83049.7351,-1,925911.904,25.01403659,528.5108174,78.00259262,33187.20646,90,1,3,1020.996123,12,723.2799662,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Greens,1,216.7357301,22162.91512,72.24524335,0,306.7733472,1,-1,-1,0.978020106,0.883062542,726.6275741,4.291626476,44.05693051,1.997,8003,44.3519454,496.7541776,4061.241827,59699.79211,0,94109.88655,22.28798281,239.2575015,39.10107187,5301.62043,80,1,3,798.2845947,10,641.0570002,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Greys,6,213.2824702,44608.45655,71.09415675,1,627.4560187,0,1,1,0.320987663,0.570326348,87.65974408,7.899449044,39.69333835,3.657,8343,54.22126905,607.8196704,7490.199528,71347.30266,-1,393701.0554,24.65399907,168.6782353,35.10864878,5135.47328,30,2,3,871.8480164,7,524.1294225,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Greys,3,137.4993945,30464.33966,45.83313151,0.551319648,664.6794286,0,-1,1,0.977786849,0.082452033,133.0732803,5.563904764,42.73321219,7.842,4158,62.57788672,498.168566,7643.131418,61984.52574,1,441798.7428,22.3196901,167.2348051,55.60558259,2156.509075,40,2,3,750.28683,7,470.9343555,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Khakis,2,103.5077151,2314.079171,34.50257171,0,67.06975904,1,-1,-1,0.876374201,0.545995427,351.8327984,7.270150241,61.6589786,9.501,6499,17.52567361,186.6340116,1043.965614,19377.94938,-1,4498.352578,13.66140591,642.2743559,76.02403047,1234.930026,100,0,3,246.5698156,16,143.7844586,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Browns,7,267.581739,41761.52578,89.193913,0,468.2104908,1,1,-1,0.465705486,0.038201958,821.508236,7.255362368,42.14665056,3.214,6786,21.95532992,454.1823303,5590.469568,54829.62065,-1,219221.0637,21.31155392,69.77477065,85.48017088,8054.748029,100,2,4,684.616796,9,458.0632993,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Greys,6,667.4132969,118134.0068,222.471099,1,531.0083305,0,1,-1,0.039799483,0.048211689,351.9192294,8.927466786,45.43068227,5.566,6434,78.84157395,422.2151304,6154.513566,52066.68906,-1,281969.8471,20.54787411,128.3638864,69.78270789,49725.86097,30,2,1,634.4496027,6,402.7103047,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Purples,5,887.9231842,127326.0823,295.9743947,1,430.1928969,1,-1,-1,0.391500784,0.58668326,105.319425,6.383756197,3.18045388,0.436,9564,59.20791556,435.3039808,5172.536931,54236.00779,0,185065.9286,20.86393972,98.66880949,23.88956253,87906.81673,100,1,1,697.801787,15,526.0178291,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Blues,4,1774.379198,568212.9352,591.4597327,0,960.6958914,0,-1,-1,0.562591638,0.300009224,859.5578957,5.385842908,66.47733925,8.962,5038,50.69311731,985.2341684,11577.42725,116347.1653,0,922936.5958,31.38844004,790.8427089,45.88072593,350426.0752,90,1,4,1443.576028,11,525.9341325,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Khakis,10,333.8041739,101134.591,111.268058,1,908.9274389,0,1,-1,0.802159725,0.21157478,19.39888438,4.373605729,36.70922644,9.51,6490,68.77701404,717.5899931,10524.45438,91409.16826,1,826149.0892,26.78787026,555.4529912,96.86316482,12501.84878,70,0,2,1139.989006,12,806.5305368,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
Purples,3,491.6404457,60061.21291,132.5261165,1,366.4947429,1,-1,-1,0.317443661,0.392602745,734.0633981,2.687818001,24.79841856,6.034,3966,69.3577752,331.923814,4328.795057,44115.83974,-1,134318.3966,18.21877641,214.7717725,77.88729181,27030.58324,100,1,5,581.718385,13,492.6749563,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Browns,9,937.1018065,92624.47796,312.3672688,1,296.5242751,1,1,-1,0.691721995,0.80055567,103.5226374,0.019174162,13.58921386,2.738,7262,16.43198233,377.7156842,3720.67412,44472.97803,-1,87926.64573,19.43490891,257.3469471,41.35544556,97895.67791,60,1,2,569.9185133,5,400.64394,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Turquoises,8,818.1663678,149988.7083,272.7221226,1,549.9689825,0,-1,1,0.280018621,0.366531236,828.0811578,3.77418329,40.92570599,6.328,9672,53.17178417,683.9876227,6867.66507,78336.22905,0,302465.8817,26.15315703,225.4535237,70.71603127,74660.07828,90,2,1,980.7541615,15,620.3368057,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Turquoises,9,692.1650432,154641.8821,230.7216811,1,670.252927,0,1,-1,0.832624553,0.686269389,381.9072724,3.290280122,34.08258534,10.002,5998,73.56517336,843.1216409,8388.772552,98646.3654,0,449238.9861,29.03655697,526.3255888,28.24989005,53473.2158,80,1,1,1256.320299,12,860.9710595,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Khakis,7,867.6045527,214452.3602,289.2015176,0,741.5326241,0,-1,-1,0.495564301,0.149324193,990.8904515,7.497450295,18.22250907,10.319,5681,24.05388728,689.6521312,8794.630504,86597.50771,1,549870.6327,26.26122867,442.2398304,47.71176015,83936.71927,60,1,3,1103.95502,8,818.2296784,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Browns,9,641.2608976,64899.32942,213.7536325,1,303.617434,1,-1,1,0.944877137,0.659727112,627.4338732,4.755180057,23.87929054,5.946,4054,5.13424566,367.4792165,3771.132773,43318.6974,-1,92183.54624,19.16974743,265.2012525,52.30478584,45914.36905,60,2,0,551.5031187,6,380.8201608,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Khakis,3,118.8877949,3046.092853,39.62926497,1,76.86473256,1,-1,1,0.063765499,0.554503954,649.2706002,0.019791101,25.16449245,9.804,6196,46.52538912,470.0058521,1708.65903,44477.51757,0,5908.187112,21.67961836,496.3965869,22.36913182,1620.107907,90,2,1,636.9971922,15,242.1890847,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Blues,9,1126.25492,59757.25997,375.4183066,1,159.1751359,1,-1,-1,0.562917769,0.460633535,882.229391,2.57774868,10.72849468,9.241,4759,50.88917944,482.006589,2555.764537,53076.09944,-1,25336.72389,21.95464846,341.5648401,83.9304639,27751.47939,60,1,3,706.4537701,11,513.4606529,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Reds,1,295.7448353,52566.79545,98.58161175,1,533.2312438,0,-1,1,0.898423561,0.198533522,569.2111291,7.939265282,97.06720635,6.92,5080,61.18876955,447.2458545,6226.804147,58459.96529,-1,284335.5594,21.14818797,111.1136467,34.4607054,9826.915788,50,0,3,751.8306062,10,591.9724255,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Greys,5,485.6304323,87432.61125,161.8768108,1,540.1181975,0,-1,1,0.574904875,0.49436769,50.30009942,5.805456925,5.332842469,8.283,3717,33.32492677,593.1142184,6587.410412,66495.64131,-1,122353.568,24.35393641,123.8394453,85.19000714,26375.97867,40,1,2,802.2601484,6,428.8910641,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Greens,9,73.42216571,6672.609492,24.47405524,1,272.6401255,1,1,1,0.148030646,0.672549714,925.2272225,7.92849733,45.47666134,4.839,5161,88.47425624,487.8055443,3702.012344,58607.68932,1,74332.63804,22.0863203,272.6167247,15.86292428,633.453435,70,2,2,791.2534295,9,649.9288542,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Greens,3,216.7959124,22070.4718,72.26530412,1,305.4089658,1,-1,1,0.822102797,0.237006193,844.7710571,6.82589836,5.433357367,0.154,9846,37.57069788,478.6770838,4011.443826,58744.37903,1,93274.6364,21.87869017,254.9916639,22.23941546,5304.539484,100,2,2,793.0515745,14,663.402605,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Purples,9,121.515452,15648.08683,40.50515067,0,386.3233829,1,-1,1,0.321009808,0.288344829,967.395643,4.566116694,93.37872739,6.066,3934,70.089735,404.1457918,4671.525413,52069.92137,-1,149245.7562,20.10337762,165.4908698,81.89636278,1691.172382,100,2,1,688.6844317,13,572.6417614,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Whites,7,895.747402,167930.6803,298.5824673,1,562.4264604,0,-1,-1,0.128768838,0.733178197,895.2577235,1.28089237,89.58779674,2.259,7741,79.46445195,416.6437901,6457.552185,54175.7702,-1,316323.5234,20.41185416,104.5673072,2.512524812,89460.07227,100,1,0,676.5050389,11,490.5659636,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Purples,2,616.4496769,88010.62262,205.4832256,0,428.3104976,1,1,-1,0.73667781,0.577418219,78.49278534,5.116531691,33.17777824,5.582,4418,42.43923801,445.2610531,5173.627082,54763.72562,1,183449.8824,21.10120976,91.55795666,92.08141116,42438.83924,80,1,0,701.4260607,10,515.7201263,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Khakis,9,531.188672,16107.79475,177.0628907,1,90.97216639,1,1,1,0.329412517,0.391127599,819.084903,8.031661417,61.74989932,10.923,5077,84.88779783,137.5138391,1184.749342,12908.94018,0,8275.935058,11.72662948,730.2313269,40.32621335,31538.33014,80.64226519,1,1,140.714155,9,15.70896643,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Purples,5,396.8547436,48865.77314,132.2849145,0,369.3979265,1,1,1,0.783292622,0.90823329,653.1330599,8.635996566,30.65847862,5.253,4747,24.30596815,458.3339329,4610.647131,52598.77293,1,136454.8281,21.40873497,158.8920549,16.569663,17641.58353,100,2,0,659.2728007,14,419.6649368,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Yellows,5,969.1722424,165749.7958,323.0574141,0,513.0660637,0,-1,-1,0.247834765,0.360265917,246.626744,0.466135128,58.0410094,8.544,5456,30.67116004,597.7174748,6326.095586,65885.14032,-1,263236.7857,24.44826118,135.9899171,26.93243008,104699.1502,80,1,2,792.4179695,13,406.3312717,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Reds,3,874.1040209,125846.1743,291.368007,1,431.914868,1,-1,1,0.274217306,0.680106515,408.6944333,5.395607981,13.50724262,7.465,4535,59.81623991,464.4830963,5248.114873,58264.99692,-1,186550.4532,21.5518699,124.8386957,24.15703246,85196.68349,40,1,3,760.43924,8,598.4259331,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Purples,4,37.49800517,5410.005419,12.49933506,1,432.8234578,1,-1,1,0.943812251,0.12897408,837.4736819,8.418807175,70.81899839,2.389,7611,38.51434579,395.7437516,5119.722081,48334.63329,1,187336.1456,19.89330922,156.1711561,27.68006625,178.7327119,100,2,3,601.9981217,16,405.0927988,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Greys,5,366.1832666,65729.95429,122.0610889,1,538.5004746,0,-1,1,0.272769405,0.051502194,507.0744613,1.904616703,24.31808377,7.539,4461,6.968846079,393.2337172,6359.969707,59533.11784,1,289982.7611,22.07900543,40.81900136,60.78527286,15030.97051,40,2,1,739.9758302,7,494.7831001,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Purples,1,422.4054445,54158.05667,140.8018148,0,384.6403311,1,-1,1,0.598592895,0.263740798,438.9826215,5.053927153,93.31807541,0.532,9468,56.60859416,422.9252457,4692.253802,51250.18794,0,147948.1843,20.56514638,141.3556103,22.96936119,19975.95287,60,1,2,655.5594206,11,472.9253328,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Khakis,2,493.2349078,36089.40353,164.4116359,0,219.506383,1,-1,1,0.67480514,0.788378114,64.42457554,8.990860584,10.46598626,12.882,3118,48.32373345,358.1733479,2911.410526,37368.36812,1,48183.0522,18.92546823,423.1785977,12.48979089,27205.59766,100,2,2,452.6303856,15,216.6474684,0.641729581,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Purples,5,482.5485574,50254.43418,160.8495191,0,312.431361,1,1,1,0.999796462,0.336803684,161.4810177,0.646696477,65.21087657,6.603,3397,80.04253502,379.1636997,3882.64101,48112.34629,-1,97613.35536,19.47212622,227.0559724,95.67059225,30912.35178,70,1,2,643.5321436,11,542.0833556,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Reds,2,46.32642862,8695.967405,15.44214287,1,563.1321686,0,-0.039164491,-1,0.659030795,0.220761754,58.41634097,3.092996047,35.28879946,7.734,4266,52.01295943,496.6085296,6624.538746,61644.01546,0,317117.8393,22.28471516,73.05918082,31.27669732,263.9019194,50,2,2,771.5671159,7,536.6124448,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
Browns,7,153.2609443,17365.68779,51.08698144,1,339.9239357,1,-1,1,0.118048835,0.849826295,571.1594587,4.133863887,41.69310795,0.232,9768,94.98065219,397.9225814,4195.08452,46853.25381,0,115548.282,19.94799693,213.759255,24.43557081,2670.966655,90,0,1,593.0083774,8,401.7713212,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Khakis,9,144.7925132,2101.353519,48.26417108,0,43.53858094,1,1,-1,0.708282687,0.475793671,195.038161,5.126572207,17.63397215,7.081,8919,37.7491957,180.0387505,795.4633104,17944.26226,-1,1895.60803,13.41785193,673.6322548,51.13875766,2387.694381,80,1,2,227.2801758,11,121.7828845,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Greys,3,39.64695442,8013.025872,13.21565147,0,606.3284801,0,1,1,0.272714596,0.031400113,671.5258041,4.417176466,5.970724719,4.904,7096,65.44072297,639.6904941,7342.66579,72577.88586,-1,367634.2258,25.2921034,176.4345511,23.98432952,197.8690953,30,1,3,877.5512964,7,482.3940073,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Purples,8,829.3051185,113721.0468,276.4350395,1,411.3843417,1,1,-1,0.62854243,0.831323947,326.005229,2.019964911,2.802401106,0.684,9316,54.75264844,339.5639608,4792.971339,45062.0703,1,169237.0766,18.42726135,185.1087566,98.09675226,76702.76611,70,1,0,583.7768603,9,474.0617227,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Purples,6,432.4309929,8924.546814,144.1436643,0,389.661011,1,-1,-1,0.401168803,0.999442233,300.1971045,6.570594928,62.02270244,3.912,8841,13.06935749,433.4902797,4763.590669,55133.57398,-1,151835.7035,20.82042938,163.895742,99.09133774,20931.53963,100,0,2,729.7620141,13,601.3093226,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Browns,2,498.9584301,80139.83478,166.3194767,1,87.75215159,1,1,-1,0.386781972,0.242605411,65.22516231,6.114031633,20.1108404,6.045,3955,13.81584965,446.5064196,5711.440384,54738.50228,0,232172.4401,21.13069851,63.62631317,88.59758689,27838.4878,60,2,6,685.4022679,6,470.7244296,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Purples,5,978.425427,119894.749,326.141809,1,367.615392,1,-1,-1,0.524595759,0.158136533,232.8922474,6.361363798,5.683841021,2.875,7125,78.53258885,397.4630247,3760.090701,49035.84664,1,135141.0764,19.93647473,168.9155581,58.34008355,106704.6214,60,0,1,633.3770223,12,477.7975216,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Yellows,8,90.5580589,8909.186441,30.18601963,0,295.1428028,1,-1,-1,0.892671857,0.964608675,260.0996392,2.553301421,94.58891016,7.661,6339,0.05226424,517.9981424,3987.424313,54833.62998,-1,87109.27407,22.75957254,246.4446907,38.48149893,951.3818009,80,1,0,677.807194,10,364.1891711,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Reds,7,77.70780902,15202.09196,25.90260301,0,282.9342955,0,1,-1,0.724429647,0.59406771,280.7267499,2.958452702,55.49360819,3.033,8967,26.96718685,491.2410618,6851.425858,63218.84274,1,344445.0055,22.16395862,137.4900517,13.33513078,706.8474455,40,0.994736842,7,803.901033,9,606.18928,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Greys,7,55.5836279,10860.51439,18.52787597,0,586.171583,0,-1,1,0.958542587,0.180294574,108.0047658,6.93065081,32.46747388,6.147,5853,19.19266162,575.36313,7012.44209,67300.58209,-1,343597.1248,23.9867282,114.7860551,29.56878643,371.8100638,30,0,1,822.2399487,6,491.5919468,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Whites,2,435.0550977,75103.36602,145.0183659,0,517.8886519,0,1,1,0.891337084,0.013625378,750.5316616,9.873865517,97.78692233,5.089,4911,66.19115486,387.8668673,5954.620254,50090.99969,-1,268208.6558,19.69433592,125.7457298,26.09454421,21185.34481,90,0,2,623.8591159,10,445.9801403,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Khakis,3,101.2715002,31236.17213,33.75716674,0,925.3197217,0,1,1,0.534453705,0.516090687,720.9159173,3.650730657,76.29940726,10.552,5448,32.07665565,908.1515932,11069.5004,111189.2644,0,856216.5874,30.13555364,767.5616897,2.069919766,1183.303473,70,0,3,1405.66627,10,991.595727,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Khakis,10,938.2122783,106151.284,312.7374261,0,339.4262251,1,1,-1,0.495146695,0.966861104,655.0684115,6.768123275,4.284910113,10.798,5202,38.19330183,439.7958611,4273.853973,47034.15643,-1,115210.1623,20.97131043,291.4369051,59.44162044,98127.43512,90,2,1,561.9380652,14,264.3583353,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Purples,1,282.6970676,40908.32281,94.23235586,0,434.1218304,1,1,-1,0.501433134,0.172097105,13.76211108,6.15519641,79.36575401,0.344,9656,23.35388719,433.4459797,5208.110264,56296.55622,0,188461.7637,20.8193655,151.5578753,66.24518794,8983.969247,70,0,1,743.0963197,10,619.1655098,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Khakis,9,620.9790656,205554.8791,206.9930219,0,993.0522164,0,1,-1,0.176537686,0.814819714,114.5639857,0.553550581,54.27952162,8.964,7036,82.16090426,699.4354079,11329.39298,95589.99019,-1,986152.7044,26.44684117,722.677418,55.58007769,43063.10412,60,2,3,1223.43339,8,989.2726035,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Violets,7,126.0120476,37941.64018,42.00401585,1,903.286017,0,-1,-1,0.82231054,0.488178665,521.0109308,3.476415353,21.04199156,8.75,7250,27.43257747,768.1806541,10569.22148,92831.25237,-1,815925.6286,27.71607213,522.6827866,57.55347386,1816.341364,100,1,2,1129.972446,15,696.5625109,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Browns,10,514.5252931,90892.3681,171.508431,0,529.9586006,0,1,1,0.500928576,0.499609544,454.9760045,2.044538208,40.73458225,1.346,8654,11.35180392,463.9304976,6227.447001,57740.81653,1,280856.1184,27.95334107,47.16396409,74.99736026,29596.65034,60,0,0,723.0785363,6,505.0904569,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Turquoises,9,376.8639484,115519.5467,125.6213161,1,919.5855468,0,-1,-1,0.765235307,0.486396658,833.912936,5.697880995,61.76496432,10.464,5536,90.32184412,949.9581646,11095.7718,113432.7173,-1,845637.5779,30.82139135,761.0411983,74.36216902,15916.33639,70,1,2,1420.901552,9,947.9612981,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Purples,10,262.6099771,43682.13492,87.53665904,1,499.0153314,1,1,-1,0.501433134,0.499073621,226.1786738,0.014022049,26.89607672,2.568,7432,88.90696533,387.5900615,5765.333437,52323.90272,0,249016.3009,19.68730712,126.4836978,20.65821961,7760.203335,80,2,2,677.720353,13,557.975529,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Khakis,9,300.013185,3532.397386,100.004395,0,35.32242144,1,1,1,0.917425049,0.491940891,335.7064894,0.984686709,7.185452827,8.62,7380,2.880442003,399.907972,514.7263559,8089.851469,-1,1247.673456,8.986159956,773.9160857,66.60898861,10110.88342,80,1,1,98.58395895,12,44.75150627,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Reds,6,278.5102995,51627.32795,92.8367665,0,556.1086398,0,1,1,0.654841125,0.492565055,653.9864694,5.844366769,98.658435,8.632,3368,64.42847359,522.7837015,6606.653802,66651.56873,-1,309256.8193,22.86446373,179.0323376,16.15736231,8721.501982,50,1,3,1456.399113,9,668.4793797,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
Greens,1,106.618185,10563.52931,35.53939501,0,297.2343596,1,1,1,0.647016294,0.758573293,228.9863059,1.632568145,93.12244831,0.357,9643,8.560218127,510.2893389,3992.922273,60952.19139,1,88348.2645,22.58958474,255.7226592,12.7923256,1308.587993,70,1.004807692,3,816.7242793,10,655.4808765,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Greys,10,416.4511086,87528.43967,138.8170362,1,630.5309641,0,1,1,0.094626241,0.95221982,778.7638328,4.322683355,5.459542852,5.191,6809,74.03902919,576.8118747,7458.93339,68251.21175,-1,397569.2967,24.0169081,151.5336076,4.480593628,19418.98658,40,1,3,829.732379,7,495.0971907,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Greys,4,99.4407808,17858.54621,33.14692693,1,538.7692875,0,-1,1,0.175110763,0.2205703,937.8025606,7.830160602,92.58140179,7.857,4143,47.40888092,582.8900864,6553.473048,66194.04991,1,290272.3452,24.14311675,103.1771641,49.78897357,1141.865692,30,1,1,804.6468132,7,452.3376133,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Blues,8,2187.924027,633362.8366,729.308009,1,868.4435503,0,1,1,0.570529395,0.296455619,723.486868,1.729385939,71.26897918,4.426,9574,67.20264072,393.2337172,9258.150227,56368.46992,1,754194.2001,16.936864,527.2492732,80.24973974,532629.48,60,2,3,750.5886025,9,811.145243,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Whites,1,127.9435655,21339.40624,42.64785517,0,500.3629409,0,1,1,0.725216816,0.544186941,82.02461665,6.196604506,99.07940296,4.487,5513,62.02209517,440.834639,5885.298687,55516.9587,1,128368.8086,20.99606246,60.11016815,68.42825697,1871.487405,60,2,2,702.0921994,7,510.6094603,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Greens,2,744.1025501,67430.3183,248.0341834,1,271.8589728,1,1,1,0.062658779,0.283096527,205.8116074,0.184112636,78.51178704,5.193,4807,81.23711632,504.7545727,3728.098873,59189.98951,0,73907.30108,22.46674371,256.3779329,22.21214117,61778.9903,90,2,0,789.9002552,12,616.8704849,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Reds,1,393.669397,71227.09543,131.2231323,0,542.793745,0,-1,1,0.078728838,0.598339506,848.8961889,3.975915273,91.71473023,5.883,6117,89.16178376,374.305453,6176.548356,52274.24517,0,294625.0496,19.34697529,149.9458526,27.62769626,17360.73359,40,1,4,675.9872226,6,569.6658808,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Reds,1,727.6723467,139386.1043,242.5574489,0,574.6519222,0,-1,1,0.493822109,0.538877269,890.4204953,3.756433355,60.59664332,4.717,7283,20.91302208,424.1790734,6594.877369,56023.69878,-1,330224.8317,20.59560811,112.2216548,14.30187812,59086.67347,50,0,0,707.0587545,11,535.6647924,5,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Violets,6,232.5677509,21478.29605,77.52258362,0,277.0585686,1,1,-1,0.203579178,0.214956157,735.6915886,8.845699823,77.11478914,6.947,9053,25.35498699,233.4378403,3237.461367,30689.86382,1,76761.45044,15.27867273,392.4632182,99.99249012,6097.273554,60,0,1,396.6008029,10,317.6017795,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Blues,2,1558.867386,93587.12185,519.6224621,1,180.1059975,1,-1,1,0.443675457,0.886921704,709.2615748,4.535315689,79.87776741,6.055,7945,95.40776007,548.0902293,2897.240433,69898.66756,0,32438.17033,23.41132694,595.1427782,11.27068398,270537.1256,90,1,1,1011.066747,12,999.5498809,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
